item_code,item_name,price_1_0,price_0_5,price_0_25
S755,Ice Cream Gelato,675,400,
S773,Guava Glue,750,450,
S746,Alien ET,825,500,
S735,Koolato,850,500,500
S774,GMO X Zkittles,850,,
S778,Raspberry Runtz,875,500,
S772,Mochi Runtz,875,500,
S701,Blue Nerdz,875,500,
S715,Queen Sherb Runtz,925,,
S765,Gelato Juice,925,550,300
S761,Drippin' Runtz,975,,
S760,Carbon Runtz,975,,
S726,Mega Runtz,975,,
S729,Yuzu Sorbet,975,,
S700,41 Zoolato,975,550,
S731,Crafted Gelato,975,550,
S734,Jolly Ranchers,975,550,300
S736,Truffle Crush,1000,,
S747,Ice Cream Runtz,1000,550,300
S767,Italia Chocolate,1000,600,
S762,Zuper Boo,1025,600,
S702,Hi Chew Cherry,1025,600,
S703,Tres Leches,1025,,
S724,Lollipop Zlushieee,1100,,
S769,Candy Crush,1100,625,
S768,33 CandieZ,1150,650,
S745,Cherry Zashimi,1150,,
SC106,Lemon Octane,1025,,
SC108,Lemon Juice,1025,,
SC111,Big Siwrlz,1025,,
SC104,Lemon Cherry Sorbet,1075,,
SC105,Rainbow Cherry Satyr,1250,,
PS07,PERSY ZA ZA Bigs Snow Caps,1300,750,375
PS02,PERSY Mini Baby Snow Caps,1400,950,475
PS04,PERSY Mini Baby Snow Caps,1500,1050,525
PS01,PERSY Snow Caps,1750,1100,550
PS03,PERSY Bigs Snow Caps,1850,1200,600
GM01,GEMZ 3.5 G Master Box,2400,1400,700
SH09,Vorpal Cherry Aurora,350,200,
SH10,Nimbus Runtz Shake,350,200,
SH11,Utopia Runtz,350,200,
B427,White Cherry Gelato,625,400,
B449,Icy Berry,625,,
B448,Wonder Bubba,750,450,
B428,Ice Cream Runtz,750,450,
B436,Gucci Gelato,800,475,
B433,Jealousy Peàch,800,,
B434,Berry Blast,800,475,
B438,Sunset Zombie,850,500,
B435,Blueberry Lemonade,850,,
B437,Donny Burger,850,,
B444,Gas Pie,850,,
B439,Speaking Zookies,850,500,275
B445,Jolly Ranchers,850,500,275
B432,Gelato Muchies,875,500,275
B431,Puppy Chow,875,500,275
B441,Royal Fruitmania,875,500,275
B443,Ice Cream Mochi,875,500,275
B407,Crushed Truffles,875,525,
B430,Wisdom Burst,900,525,
B440,Runtz Zoap,900,525,
B429,Trop Block Cherry,925,,
B410,Gogì Monkey,925,550,
B413,Gas Zapper,925,550,
A772,Celebra Elephantz,1050,,
A765,Jammed Gelato,1075,,
A752,Papaya Zoap,1100,625,
A818,Orange Burst,1150,650,
A815,Melo Dough,1225,675,
A820,Sherbacio Sweet Gelato,1300,675,375
IN152,E85,1325,,
A810,Ferrari Gobstopper,1375,750,
K01,KANDI,2500,1600,800
IN151,Lemon Cherry Sorbet,1425,,
IN150,Purple Chaos,1475,,
A811,Lemon Cherry Tartare,1525,850,475
A813,Ultimate Candy,1550,850,475
A812,Tru Runtz,1550,850,
A821,Gumbo Lollipop,1550,850,475
A809,Lemon Cherry Jelato,1550,850,
A808,Lemon Cherry Zlushieee,1550,850,
A845,Nimbus Lolli,1575,875,475
IN145,Flooding Karats,1800,950,500
IN147,Neelo' Zangria,1800,950,500
IN144,Snowing Candy IceFlash,1800,950,500
IN146,Neon Frost CandyCrush,1800,950,500
IN149,Marshmallow Freeze,1800,950,500
IN148,White Cherry Blade,1800,950,500
RAP43,Black Mirror Snowfest,1900,1050,550
RAP44,Vapor Throne,1900,1050,550
RAP47,Gumbo Loaf Mafia,1900,1050,550
RAP31,Veloria Starshade,2500,1300,750
B447,Pink Runtz,850,,
B448,Wonder Bubba,800,450,
B442,Dulce De Leches,825,,
B450,Golden Candy,575,,
A823,Purple Push Pop,1150,,
S790,Super Bubble,625,,
S771,Mint Chocolate Runtz,850,500,